metric,penalty,breakpoint_index,breakpoint_date
vader_compound,3.0,50,2022-12-18 00:00:00+00:00
vader_compound,3.0,215,2026-02-15 00:00:00+00:00
vader_compound,5.0,50,2022-12-18 00:00:00+00:00
vader_compound,10.0,50,2022-12-18 00:00:00+00:00
afinn_per_word,3.0,50,2022-12-18 00:00:00+00:00
afinn_per_word,3.0,210,2026-01-11 00:00:00+00:00
afinn_per_word,5.0,50,2022-12-18 00:00:00+00:00
afinn_per_word,5.0,210,2026-01-11 00:00:00+00:00
nrc_positive,3.0,130,2024-06-30 00:00:00+00:00
nrc_positive,3.0,160,2025-01-26 00:00:00+00:00
nrc_positive,5.0,160,2025-01-26 00:00:00+00:00
nrc_negative,3.0,150,2024-11-17 00:00:00+00:00
nrc_negative,5.0,150,2024-11-17 00:00:00+00:00
nrc_anger,3.0,190,2025-08-24 00:00:00+00:00
nrc_disgust,3.0,45,2022-11-13 00:00:00+00:00
nrc_disgust,3.0,150,2024-11-17 00:00:00+00:00
nrc_disgust,5.0,45,2022-11-13 00:00:00+00:00
nrc_joy,3.0,55,2023-01-22 00:00:00+00:00
nrc_joy,3.0,210,2026-01-11 00:00:00+00:00
nrc_joy,5.0,55,2023-01-22 00:00:00+00:00
nrc_joy,5.0,210,2026-01-11 00:00:00+00:00
nrc_joy,10.0,55,2023-01-22 00:00:00+00:00
nrc_sadness,3.0,180,2025-06-15 00:00:00+00:00
nrc_surprise,3.0,55,2023-01-22 00:00:00+00:00
nrc_surprise,3.0,80,2023-07-16 00:00:00+00:00
hedge_density,3.0,55,2023-01-22 00:00:00+00:00
hedge_density,3.0,180,2025-06-15 00:00:00+00:00
hedge_density,3.0,210,2026-01-11 00:00:00+00:00
hedge_density,5.0,55,2023-01-22 00:00:00+00:00
hedge_density,5.0,210,2026-01-11 00:00:00+00:00
hedge_density,10.0,55,2023-01-22 00:00:00+00:00
hedge_density,10.0,210,2026-01-11 00:00:00+00:00
